* Funky input line bahážat	bahážat	+?
* Funky input line badjosat	i høyden	XXX
* Funky input line buotdin	kaikki tyynni	XXX
* Funky input line gas cō: puskii (koiralle) XXX
* Funky input line peaila	neljänneslitran mitta	XXX
* Funky input line preantár	kirjanpainaja	XXX
* Funky input line preanttidit	painaa (kirjoja)	XXX
sealggálassii	selälleen	Adv	Adv
sealla	olkain	N	N
sealli	(puissa talvella oleva) lumettomuus	N	+?
šeallju	myrkkysyötti (petoeläimiä varten)	N	+?
sealvi	selvä (asiasta)	A	+?
sealvvas	selvä (asiasta)	A	+?
seamaskas	säämiskä	N	N
seammalágán	samanlainen	+?	A
seamul	sammal	N	N
seaŋáš	raelumi (maata vasten oleva)	N	+?
seargge	särki	N	N
searggihit	saada särö (astiasta)	V	+?
šearpa	valtaus (kullankaivussa tms.)	N	+?
searrobáddi	komsion kuomusta jalkopäähän ulottuva paula tai nyöri	N	+?
searvevuohta	osallisuus	N	N
seassat	tarkastella& kunnostaa& tarkastella& kunnostaa	V	+?
seastevaš	säästäväinen	A	A
seasttaskas	säästeliäs	A	A
seatnadit	totuttaa (eläin ihmisiin)& saada viihtymään& totuttaa (eläin ihmisiin)& saada viihtymään	V	+?
seavdnjatvuohta	pimeys	N	N
seavla	seula	N	N
seavlašuvvat	seuloutua	V	V
seavli	seula	N	N
seavnnjádat	pimeä sää	N	+?
seavnnjášit	pitää (liian) pimeänä	V	+?
seavnnját	säynävä	N	N
seđel	seteli	N	N
segelduvka	purjekangas	N	+?
segohus	sekoitus& häiriö& sekoitus& häiriö	N	+?
sehkket	sekoittaa	V	V
selddetrássi	jouhivihvilä	N	N
šelge	kiiltäväkarvainen poro (erit. vaadin)	N	+?
šelget	kirkastaa& kiillottaa& kirkastaa& kiillottaa	V	+?
šelljet	myrkyttää (haaska tms. syötiksi)	V	+?
senet	sinappi	N	N
seŋket	myöhästyä	V	V
sepmohit	hourailla (unessa)	V	+?
septeamber	syyskuu	N	N
serrodat	(polun tms.) haara	N	+?
servvolaš	osallinen& osakas& osallinen& osakas	A	+?
sesttolaš	säästäväinen	+?	A
sevddiidit	löyhkätä (kuin kärppä)	V	+?
sevlet	seuloa	V	V
sevnnjodahttit	pimentää	V	V
sevnnjodeapmi	pimennys	N	N
sevnnjoduvvat	joutua pimeän yllättämäksi	V	+?
siđas	käheä	A	A
siđasmit	käheytyä	+?	V
siđasmuvvat	käheytyä	V	V
siđđut	käheytyä	V	V
sidjádit	tilkitä (veneen laitojen väliä karvoista ja tervasta tehdyllä tilkkeellä)	V	+?
siđus	käheä	A	A
sieđas	käheä	A	A
šieđđaluvvat	hengästyä	V	V
šieđđa	läähätys	N	N
šieđđat	läähättää (ihmisestä)	V	+?
sieđgaskierri	pohjanpaju	N	+?
sieđus	käheä	A	A
siehppa	häpykarva	N	+?
šiehppun	kiireetön	Adv	+?
šiehtadus	sopimus	N	N
šiehttil	pienikokoinen (esineestä)	A	+?
šiehtun	kiireetön	A	+?
sieidá	kosketuksenarka lapsi	N	+?
sieiddas	kosketuksenarka (lapsesta)	+?	+?
sieidi	seita	N	N
siekkis	kannusjalka (koiran nimi)	N	+?
siekkis	(koiran) kannus	N	+?
šielbmá	kynnys	N	N
siellu	sielu	N	N
siepman	siemen	N	N
sierrán	pystypuu (rysäpadossa)	N	+?
šiertá	hertta (pelikorteissa)	N	+?
šiervi	hento	A	A
šiervudit	tehdä henno(mma)ksi	V	+?
šiervut	tulla henno(mma)ksi	V	+?
šiervvas	hento	A	A
siessi	veneen paljas kaarenväli (siestimen ja pohjateljon välillä)	N	+?
sievttastit	asettaa syötti tai syöttejä& vokotella& asettaa syötti tai syöttejä& vokotella	V	+?
sigareahtta	savuke	N	+?
sihkastat	pyyhkäisy	N	N
sihke	sekä	CC	CC
sihkkar	varma	+?	A
sihkkasit	pyyhkiytyä	V	V
sihkkašuvvat	pyyhkiytyä	V	V
sihkor	sikuri	N	N
sihta	järviruoho	N	+?
sihtavaš	vaativa(inen) (ihmisestä)	A	+?
siiba	siipi (viikatteessa)	N	+?
siidái	jossa on paljon porokyliä	A	+?
siiddaheapme	jossa ei ole tai on vähän porokyliä (seudusta)	A	+?
siiddaiduvvat	saada suuri porotokka (ihmisestä)& saada paljon porokyliä (seudusta)& saada suuri porotokka (ihmisestä)& saada paljon porokyliä (seudusta)	V	+?
siiddalmas	jossa on paljon porokyliä (seudusta)	A	+?
siidui	isokylkinen	+?	+?
siigat	lipua	V	V
siiggát	maininki	N	N
šiitit	kiistää	V	V
šikkas	ärähtely& hätistys& ärähtely& hätistys	N	+?
šikkohallat	joutua (jkun) vaientamaksi (torumalla)& joutua (jkun) hätistämäksi& joutua (jkun) vaientamaksi (torumalla)& joutua (jkun) hätistämäksi	V	+?
sikta-	siktajáfˈfut 'sihtijauhot'	+?	+?
silan	ruipelo (nopeasti väsyvä)	N	+?
silá-	silát (pl.) 'silavaljaat'	+?	+?
silbet	hopeoida	V	V
silbii	jossa on paljon hopeaa	+?	+?
sildi	silli	N	N
sildi	silta	N	N
sildnašuvvat	soveltua ravistettavaksi kokoon (esim. jauhot pussissa)	V	+?
sildnit	ravistaa kokoon (esim. jauhoja pussissa)	V	+?
silli	siivilä	A|N	N
šimir	hamara	N	N
siŋkanurki	sinkkanurkka	N	+?
siŋka	sinkki	N	N
šinnja-	puuvillasatiini-& (pl.) puuvillasatiinihousut& puuvillasatiini-& (pl.) puuvillasatiinihousut	+?	+?
sinuiduvvat	ruveta kasvamaan runsaasti ruohoa	V	+?
širaidit	ryöpytä	V	V
sirdán	liikkeelle lähtö (jutamamatkalla)	N	+?
sirdát	lähteä siirtymään (jutamamatkalla)	V	+?
sirddáldahttit	siirrättää (muiden avulla)	V	+?
sirdda	siirtymämatka (jutamamatkalla)	N	+?
širgalit	ryöpsäyttää	V	V
širgguhit	ryöpyttää	V	V
sirgŋat	väljentyä (saumasta)	V	+?
širihit	ryöpsähtää	V	V
sirpe	sirppi	N	N
širra	ryöppy	N	N
širrat	ryöpytä	V	V
širrá	vesikirppu& punkki& vesikirppu& punkki	N	+?
sirret	erottaa (toisistaan)& eristää& erottaa (toisistaan)& eristää	V	+?
siskálas	sisäkkäinen	A	A
siskko-	(yhdyssanoissa)	+?	+?
sistat	päärmätä sisnalla& jatkaa kengän ilttiä sisnan tai karvanahan palalla& päärmätä sisnalla& jatkaa kengän ilttiä sisnan tai karvanahan palalla	V	+?
sis-	(yhdyssanoissa)	+?	+?
sitnáduvvat	sisuuntua	V	V
sitnut	ruohottua	V	V
sivaheapme	syytön	A	+?
sivahit	syyttää	V	V
sivaiduvvat	saada vika	V	+?
sivdnideapmi	luominen	N	N
sivdnidit	luoda (erit. Jumalasta)& siunata& luoda (erit. Jumalasta)& siunata	V	+?
sivdnidupmi	(maailman) luominen	N	+?
sivjjot	vastakkaista sukupuolta oleva sukulainen avioliiton kautta	N	+?
sivla	(pikku)tuulenkala	N	+?
sivnnát	sinettisormus	N	N
sivvat	varovainen	A	A
skábmaluvvat	tulla kaamos& joutua kaamoksen yllättämäksi& tulla kaamos& joutua kaamoksen yllättämäksi	V	+?
skáđa-	skáđadivri: tuhoeläin	+?	+?
skáđđašuvvat	vahingoittua	V	V
skáđet	haitata	V	V
skádja	kaiku (erit. huoneessa)	N	+?
skáhčasit	töytäistä (jtak vasten)	V	+?
skáhppái	jossa on paljon pihlajia	A	+?
skáhppet	koota pihlajan versoja (karjalle keitettäväksi) tai pihlajan kuorta	V	+?
skáhppot	hankkia	V	V
skáhtta	tapporaha	N	N
skáhttu	(valko)rausku	N	+?
skáida	kaide (kangaspuissa)& linkku& kaide (kangaspuissa)& linkku	N	+?
skáidet	lyödä kaiteella (kangasta kudottaessa)	V	+?
skaipi	kierous (esineen päässä)	N	+?
skaippil	kierossa (esineen päästä)	Adv	+?
skáiti	(tunturi)kihu	N	+?
skáktádit	lastoittaa (airo)	V	+?
skáktá	lasta (airon varressa)	N	+?
skálbmestit	törmätä (yhteen)	V	+?
skálkošit	laskea leikkiä	V	+?
skálžžár	leikkisä	N	A
skápmu	hämärä (ennen tai jälkeen päivänvalon)	N	+?
skárastit	leikata (poikki)	V	+?
skárben	pahus	N	N
skárfa	merimetso	N	N
skarkit	korista	V	V
skarkkihit	korahtaa	V	V
skártet	poistaa karstaa	V	+?
skárttas	karstainen	A	A
skátnjat	kimittää	V	V
skavdda	riite	N	+?
skavdut	mennä riitteeseen	V	+?
skávgat	hätistää (liikkeelle)	V	+?
skávli	(kala)lokki	N	+?
skávval	(iso) aalto (meressä)	N	+?
skávžut	parroittua	V	V
skávžžet	(veneen) ylilaidan jatke etusiestimestä vannaaseen	N	+?
skeahppu	vakka (tilavuusmittana)	N	+?
skeaikkan	räkättäjä	N	+?
skealččasmáhkka	keittämättömän maku	N	+?
skeaŋkár	kenkkäri (häissä)	N	+?
skeaŋkkas	lahjaksi	Adv	+?
skeaŋkut	lahjoitella	V	+?
skeartnjagit	ruveta maistumaan kärventyneeltä	V	+?
skeartnja	kärventynyt (maultaan)	A	+?
skeavkáhit	sipsuttaa	V	V
skebmet	viivästyttää	V	V
skertnjiidit	maistua kärventyneeltä	V	+?
skibahit	antaa sairastaa& elättää sairasta eläintä& antaa sairastaa& elättää sairasta eläintä	V	+?
skiddu	pikkunieriä	N	+?
skiedduluvvat	kulua kovasti (nahasta tai nahkavaatteesta)	V	+?
skielggagit	tulla kierosilmäiseksi& kieroutua (silmistä)& tulla kierosilmäiseksi& kieroutua (silmistä)	V	+?
skielgguhit	kulkea kierosilmäisenä	V	+?
skieraskas	vaivaiskoivua kasvava	A	+?
skieras	vaivaiskoivua kasvava paikka	A|N	+?
skierbmut	ontua	V	V
skierku	verkilö	N	N
skierpmádit	onnahtaa	V	V
skierrái	tiheästi vaivaiskoivuja kasvava	+?	+?
skierrostit	heittää pyörää (maata myöten)	V	+?
skierru	kiekko (pyörä)& pl.: kärryt& kiekko (pyörä)& pl.: kärryt	N	+?
skierru	pikkukajava	N	N
skievttahuvvat	tulla huolimattomaksi	V	+?
skievttár	tuhlaaja	N	N
skievvidit	hermoilla	V	V
skihčas	törröttävä	A	A
skihččát	törröttää	V	V
skihkidit	varustaa (matkalle)	V	+?
skihpáraš	(pl.) kaverukset	N	+?
skihpa	sairastelu	N	N
skilahit	kilistää	V	V
skilanas	kilistin& kilahdus& kilistin& kilahdus	N	+?
skilan	kilistin& kellokas& kilistin& kellokas	N	+?
skilihit	kilahtaa	V	V
skilkalit	kilkahduttaa& karauttaa (kellot kilisten)& kilkahduttaa& karauttaa (kellot kilisten)	V	+?
skilkit	kilkattaa	V	V
skilkkanas	kilkutin& kilkahdus& kilkutin& kilkahdus	N	+?
skilkkihit	kilkuttaa (tr.)	V	+?
skilkkuhit	kilkuttaa	V	V
skilla	kilinä	N	N
skillalahttit	kilahduttaa& lähteä ajamaan kilinän kanssa& kilahduttaa& lähteä ajamaan kilinän kanssa	V	+?
skillat	kilistä	V	V
skillet	erottaa (silmillään)	V|N	+?
skillet	killinki	V|N	N
skilžut	jäätyä paakkuiseksi (karvoituksesta)	V	+?
skilžžas	paakkuiseksi jäätynyt (karvoituksesta)	A	+?
skiŋggas	kilkutus (korkea ja ohutääninen)	N	+?
skiŋgil	kilkattava	A	+?
skirččas	luiseva	A	A
skirči	luiseva olio	N	+?
skirrát	törröttää (kasettuneista nahkavaatteista)& olla jssak kuivakkana& törröttää (kasettuneista nahkavaatteista)& olla jssak kuivakkana	V	+?
skirri	kuivakka olio	N	+?
skirruhit	liikkua kuivakkana	V	+?
skoabádat	rahinakeli	N	+?
skoađđi	kalvo (jnk ympärillä)	N	+?
skoahččát	näkyä taivasta vasten	V	+?
skoaldu	kyömynokkainen ja isopäinen olio	N	+?
skoalpa	norjalaistalonpoika	N	+?
skoalppas	norjalaistalonpojan oloinen	A	+?
skoalta	kolttasaamelainen	N	A& N
skoalta	(pää)kallo	N	+?
skoarkil	väkkärä	N	N
skoarpa	vaahto	N	N
skoarragit	kulua karvattomaksi (karvanahkaisista vaatteista)	V	+?
skoarra	pilkkasiipi	N	N
skoarras	karvakulu	A	+?
skoarri	karvakulu vaatekappale& rääsyläinen& karvakulu vaatekappale& rääsyläinen	N	+?
skoavddil	komolla (lumesta)	Adv	+?
skoavdnji	mörkö	N	+?
skoavdnjut	liikkua mörkönä (vars. pimeässä)	V	+?
skoavgit	kuulostaa kaamealta (jstak pimeässä ääntelevästä)	V	+?
skoavit	pesuvati	N	N
skoddui	sumuinen	+?	A
skohččebealjat	pystykorvainen	A	A
skohččebeallji	pystykorva (korvasta tai koirasta)	N	+?
skohči	pystykorvainen koira	N	+?
skohtabeaŋka	(kahdesta syrjällään olevasta lankusta koostuva) höyläpenkki	N	+?
skohtalastit	keihästää (paltaita tai kampeloita)	V	+?
skohtal	keihään kaltainen harppuuna (paltaan tai kampelan pyynnissä)	N	+?
skoldašuvvat	kalttautua (erit. lampaan ja poron sorkista)	V	+?
skoldet	kaltata (erit. lampaan tai poron sorkkia)	V	+?
skolle	kippis	Interj	Interj
skolpaluvvat	ruveta istumaan huonosti (vaatteesta)	V	+?
skolpát	istua huonosti (vaatteesta)& seistä huonosti istuvissa vaatteissa& istua huonosti (vaatteesta)& seistä huonosti istuvissa vaatteissa	V	+?
skolpi	huonosti istuva vaatekappale& huonosti istuviin vaatteisiin pukeutuva ihminen& huonosti istuva vaatekappale& huonosti istuviin vaatteisiin pukeutuva ihminen	N	+?
skolppagit	ruveta istumaan huonosti (vaatteesta)	V	+?
skolppuhit	kävellä huonosti istuvissa vaatteissa	V	+?
skolput	mennä jhonk huonosti istuvissa vaatteissa	V	+?
skoltalaš	kolttasaamelainen	N	A& N
skoret	juottokauha	V|N	+?
skorpet	kuoria vaahto (esim. keitosta)	V	+?
skožas	pysty (koiran korvasta)	A	+?
skreaddár	räätäli	N	N
skriidna	lipas	N	+?
skruvet	ruuvata	V	V
skruvtta	romu	N	N
skuđđut	kohennella (tulta)	V	+?
skuđuheapme	huono ampumaan	A	+?
skugga	loukko	N	N
skuhčat	kikattaa	V	V
skuhttár	tarkka-ampuja	A|N	N
skuibi	(tuohi)suppilo	N	+?
skuibor	tuohilippi& kaatonokka (astiassa)& tuohilippi& kaatonokka (astiassa)	N	+?
skuittas	sojottava	A	A
skuldot	torua	V	V
skulket	hakata poikki (puun runko tms.)	V	+?
skulket	pinnata (koulusta)	V	+?
skulkkodit	hakata poikki (puun runkoa tms.)	V	+?
skummet	kuoria (maitoa)	V	+?
skumpa	läjä	N	N
skumpet	sekoittaa (kortteja)	V	+?
skunjaidit	nauraa tirskua	V	+?
skunjihit	tirskahtaa nauramaan	V	+?
skuogga	hetula	N	N
skuoggir	seulaluu	N	N
skuoggun	seulaluu	N	N
skuohpponjunni	koukkunokka	N	N
skuohppu	kotelo& kuonoke (poroja purevalle koiralle)& huppu& kotelo& kuonoke (poroja purevalle koiralle)& huppu& kotelo& kuonoke (poroja purevalle koiralle)& huppu	N	+?
skuolljut	puskea	V	V
skuordná	pahanilmanlintu& surkimus& pahanilmanlintu& surkimus	N	+?
skuortnagit	tulla huono-onniseksi	V	+?
skuotnja	valonkajo	N	N
skuožurdit	tökkiä (jllak terävällä)& nälviä& tökkiä (jllak terävällä)& nälviä	V	+?
skupmot	(naisen) päällyslakki& (tavallisen lakin päälle tuleva) suojuslakki& (naisen) päällyslakki& (tavallisen lakin päälle tuleva) suojuslakki	N	+?
skurbbet	keripukki	N	N
skurči	jyrkkäreunainen kapeikko (joessa)	N	+?
skurvvagit	masentua	V	V
skutnjat	tirskua	V	V
skuvlet	opettaa (koulussa)& kouluttaa& opettaa (koulussa)& kouluttaa	V	+?
skuvret	kuurata	V	V
skužaidit	kikatella	V	V
skužistit	kikattaa	V	V
šláddjet	lajitella& tunnustaa maata (korttipelissä)& lajitella& tunnustaa maata (korttipelissä)	V	+?
šlahtádit	alkaa sataa räntää	V	+?
šlahttádit	sataa räntää	V	+?
šlahttát	alkaa sataa räntää	V	+?
šlákta	teuras& teurastus& teuras& teurastus	N	+?
šláktet	teurastaa	V	V
šlámaidit	meluta	V	V
šláttardit	juoruta	V	V
šláttar	juoru	N	N
šláva	orja	N	N
šlávehallat	luovia	V	V
šlávehit	luovia	V	V
šlávet	luovia	V	V
šleađđu	silokallio (rannikolla)& tasanko& silokallio (rannikolla)& tasanko	N	+?
šleahtta	rantamatala (erit. joessa)	N	+?
šleaidu	rivo(puheinen) ihminen	N	+?
šleaippástuvvat	rasittua (esim. matkasta)	V	+?
šleaivi	kömpelö (suopungin) heittäjä	N	+?
šleambit	hotkia	V	V
šleambut	hotkia	V	V
šleancát	lerpattaa	V	V
šleanci	lerppa	N	+?
šleaŋgu	linko	N	N
šleđđui	tasankoinen (ylämaasta)	+?	+?
šliđardit	hutiloida& retalehtaa& hutiloida& retalehtaa	V	+?
šliipá	tahko	N	N
šliipet	tahkota	V	V
šliita	raadanta	N	N
šlimpá	heiluri& luoti (luotilangassa)& heiluri& luoti (luotilangassa)	N	+?
šlimppardit	heilahdella (jstak roikkuvasta)	V	+?
šliŋgu	linko	N	N
šlinzi	pehmennyt kala	N	+?
šlinzzagit	pehmetä (kalasta)	V	+?
šlinzzas	pehmennyt (esim. kalasta)	A	+?
šlivggas	helmanheilutus	A|N	+?
šloaŋgasit	lähteä liikkeelle laiskanpulskeana	V	+?
šloaŋgát	olla jssak laiskanpulskeana	V	+?
šloaŋggagit	tulla laiskanpulskeaksi	V	+?
šloaŋggas	laiskanpulskea	A	A
šloaŋgu	laiskanpulskea olio	N	+?
šloaŋkkistit	lonksua	V	V
šlohkket	suolistaa (merikalaa suuria määriä)	V	+?
šlovet	lyödä (kepillä tms.)	V	+?
šlubbá	sorkkamätä	N	N
šlubbudit	turvottaa (nuijamaiseksi)& aiheuttaa sorkkamätä& turvottaa (nuijamaiseksi)& aiheuttaa sorkkamätä	V	+?
šlubbut	turvota (nuijamaiseksi)& saada sorkkamätä& turvota (nuijamaiseksi)& saada sorkkamätä	V	+?
šluđuhit	rökälehtää (erit. huonosti pidetyissä kengissä)	V	+?
šlumpa	melkoinen määrä	Adv|N	+?
šlumpa	umpimähkään	Adv|N	Adv
šluŋkánit	lähteä liikkeelle luppakorvaisena	V	+?
šluŋkát	olla lupassa (korvasta)	V	+?
šluŋki	luppakorva	N	N
šluŋkkagit	mennä luppaan (korvista)	V	+?
šluŋkkahit	liikkua luppakorvaisena	V	+?
šluŋkkistit	lerpattaa (luppakorvista)	V	+?
šluppar	pyörteinen kohta (joessa)& sotku (verkossa)& pyörteinen kohta (joessa)& sotku (verkossa)	N	+?
šlurvvas	sottainen& saamaton& sottainen& saamaton	A	+?
smáhkiidit	maistua	V	V
smáhkka	maku	N	+?
smáhkket	pieniä lastuiksi& levitellä lastuja& pieniä lastuiksi& levitellä lastuja	V	+?
smáhkkui	lastuinen	+?	+?
smáiti	(harmaa)kaihi	A|N	+?
smáitiluvvat	saada (harmaa)kaihi (silmästä)	V	+?
smáitut	saada (harmaa)kaihi (silmästä)	V	+?
smarbmedákti	(pl.) alimmaiset selkänikamat	N	+?
smarbmi	nikama (jokin alimmaisista selkänikamista)	N	+?
smarret	juoksettua (keitettäessä)	V	+?
smarvái	kiharainen	+?	A
smarvvagit	kihartua	V	V
smávvásiid	vähittäin (ostamisesta ja myymisestä)	Adv	+?
smiđásmit	lauhtua (keväisemmäksi)& tulla säyseä(mmä)ksi& lauhtua (keväisemmäksi)& tulla säyseä(mmä)ksi	+?	+?
smiđđut	lauhtua (keväisemmäksi)& tulla säyseä(mmä)ksi& lauhtua (keväisemmäksi)& tulla säyseä(mmä)ksi	V	+?
smiđis	lauha& säyseä& lauha& säyseä	A	+?
smiehttalas	mietteliäs	A	A
smiergáhttu	para	N	N
smiergguhit	rouskuttaa	V	V
smiergit	rouskua	V	V
smirezas	märepala	N	N
smirezastit	märehtiä	V	V
smirezat	märepala	N	N
smirezit	märehtiä	V	V
smoahtis	mättäinen (pellosta)	A	+?
smoahtta	poron sairaus	N	+?
smoldet	murentaa	V	V
smolgat	huoliteltu	A	A& N
smolge	(erit. pukeutumiseltaan) huoliteltu ihminen	N	+?
smovhlet	ahmia	V	V
smuhččasaddat	suipistella suutaan (erit. naisista)	V	+?
smuhčči	suppusuu (erit. naisista)	N	+?
smulket	silputa	V	V
smuortu	(vanhanaikainen) vyönsolki (hopeaa)	N	+?
smurtačáhppat	sysimusta	A	A& N
smurtet	mustata	V	V
smurtet	teniä	V	+?
smurvi	loppuun syötetty kesälaidun	N	+?
snađđašuvvat	joutua sysätyksi	V	+?
snáhka	täysikasvuinen saukkonaaras	N	+?
snáhki	harus	N	N
snahpastit	torkahtaa	V	V
snahppot	torkkua	V	V
snáitet	viistää (kärki poikki)	V	+?
snáldu	värttinä	N	N
snárkái	sykkyräinen (narusta tms.)	+?	+?
snárki	sykkyrä (narussa tms.)	N	+?
snárkkas	sykkyräinen (naru tms.)	A	+?
snárkut	sykertyä (narusta tms.)	V	+?
snarragit	tulla haaroviksi (sarvista)& tulla eripuraisiksi& tulla haaroviksi (sarvista)& tulla eripuraisiksi	V	+?
snarras	haarova (erit. sarvista)& eripurainen& haarova (erit. sarvista)& eripurainen	A	+?
snárri	tyyni vesi& tyyni (vedenpinta)& tyyni vesi& tyyni (vedenpinta)	A|N	+?
sneaida	pala (kalasta poikittain leikattu)& (maa)kaistale& pala (kalasta poikittain leikattu)& (maa)kaistale	N	+?
sneakta	poikki (leikattuna)	Adv	+?
sneavvar	vähäruokainen	A	A
snelkkodit	näykkiä (jatkuvasti)& näykkiä toisiaan& näykkiä (jatkuvasti)& näykkiä toisiaan	V	+?
snelkkon	näykkijä	N	+?
snielásmit	tulla röyhkeäksi	+?	+?
snielásmuvvat	tulla röyhkeäksi	V	+?
snielut	röyhkimys	N	+?
snievkalit	viiltää (kerran)	V	+?
snievkkuhit	viillellä	V	V
snihppar	suonirauta (suoneniskennässä)	N	+?
sniiggár	nuukailija& kuokkavieras& nuukailija& kuokkavieras	N	+?
sniiggáruššat	nuukailla	V	V
snirkkagit	tulla pystynenäiseksi	V	+?
šnjalčadit	kastella (nahkavaate) likomäräksi	V	+?
šnjalčát	roikkua märkänä	V	+?
šnjalččahit	liikkua likomärissä nahkavaatteissa	V	+?
šnjalččas	likomärkä (nahkavaatteista)	A	+?
šnjalččuhit	liikkua likomärissä nahkavaatteissa	V	+?
šnjarvát	olla jssak likomärissä nahkavaatteissa	V	+?
šnjarvi	likomärkä nahkavaate	N	+?
šnjarvvagit	kastua likomäräksi (nahkavaatteista)	V	+?
šnjarvvas	likomärkä (nahkavaatteista)	A	+?
šnjarvvuhit	liikkua likomärissä nahkavaatteissa	V	+?
šnjierrá	hiiri	N	N
šnjilža	lyhytkarvainen poro (alkusyksystä)	N	+?
šnjilži	lyhytkarvainen poro (alkusyksystä)	N	+?
šnjilžžagit	tulla lyhytkarvaiseksi (porosta alkusyksyllä)	V	+?
šnjilžžuhit	liikkua jssak lyhytkarvaisena (porosta alkusyksyllä)	V	+?
šnjirggádit	kirkaista& kirskahtaa& hirnahtaa& kirkaista& kirskahtaa& hirnahtaa& kirkaista& kirskahtaa& hirnahtaa	V	+?
šnjirggas	kirkuna& kirskuna& hirnunta& kirkuna& kirskuna& hirnunta& kirkuna& kirskuna& hirnunta	A|N	+?
šnjirgut	kimittää& kirskua& hirnua& kimittää& kirskua& hirnua& kimittää& kirskua& hirnua	V	+?
šnjirrehit	punoa (litteää nyöriä)	V	+?
šnjirvi	likomärkä nahkavaate	N	+?
šnjivaidit	kärytä	V	V
šnjivihit	kärähtää	V	V
šnjivvat	kärytä	V	V
šnjoaraidit	liristä	V	V
šnjoarggihit	lirahtaa	V	V
šnjoargguhit	liruttaa	V	V
šnjoargut	liristä	V	V
šnjoarra	lirinä	N	N
šnjoarrat	liristä	V	V
šnjorrosii	liristen	Adv	+?
šnjuoggát	olla jssak (liian) suoranenäisenä	V	+?
šnjuokkardit	kävellä tai puuhailla jtak (liian suoranenäisestä ihmisestä)	V	+?
snoakkis	niukka& kitsas& niukka& kitsas	A	+?
snoallái	rivo (puheissaan)	+?	+?
snoallalas	rivo (puheissaan)	+?	+?
snoallat	puhua rivouksia	V	+?
snoalus	rivo (puheissaan)& (pl.) rivot puheet& rivo (puheissaan)& (pl.) rivot puheet	A	+?
snogas	etukenossa oleva (erit. poron sarvista)	A	+?
snogastahkii	etukenossa	+?	Adv
snoguhit	kulkea etukenossa	V	+?
snohkut	etukenossa (hetkellisesti)	Adv	+?
snoraldat	kurenauha	N	N
snorránit	lähteä liikkeelle kurttuisissa vaatteissa	V	+?
snorrasit	kuroutua	V	V
snorras	kurttuinen (liian nopeasti kuivuneesta nahkavaatteesta)	A	+?
snorrát	olla jssak kurttuisissa vaatteissa	V	+?
snorrehit	kurtistaa (nahkavaatteita)	V	+?
snorruhit	liikkua kurttuisissa nahkavaatteissa	V	+?
snuđádit	niiskauttaa	V	V
snuđđat	niiskuttaa	V	V
snuđđor	umpisuoli (kalan sisälmysten lyhyistä umpisuolista)	N	+?
snuđđut	niiskuttaa	V	V
snuhrra	kuorsaus	N	N
snuhrrat	kuorsata	V	V
snuiba	lippa& lippalakki& lippa& lippalakki	N	+?
snuoggá	nuuskija	N	N
snuohkki	värttinäkoukku	N	+?
snuolgái	räkäinen	+?	A
snuolgá	räkänokka	N	N
snuolggár	räkänokka	N	N
snuolggidit	tahria räkään	V	+?
snuordát	olla jssak karvakuluissa vaatteissa	V	+?
snuorddildit	liikkua karvakuluissa vaatteissa (erit. saidasta ihmisestä)	V	+?
snuordu	karvakulu kohta	N	+?
snurkit	röhkiä	V	V
snurkkas	röhkinä	N	N
snurkkihit	röhkäistä	V	V
snurtašuvvat	mennä silmukalle (köydestä tms.)	V	+?
snuskit	nuuskuttaa	V	+?
snuskkihit	nuuskauttaa	V	+?
snuvra	nyöri (rukissa)	N	+?
snuvsset	nuuskata	V	V
soabadit	sopia (jonkun kanssa& keskenään)& tehdä sovinto& sopia (jonkun kanssa& keskenään)& tehdä sovinto& sopia (jonkun kanssa& keskenään)& tehdä sovinto	V	+?
soabahallat	sovitella	V	V
soabahus	sovitus& hyvitys& sovitus& hyvitys	N	+?
soađástallat	pistellä (esim. silmässä olevasta roskasta)	V	+?
soađistit	pistää (tikulla)	V	+?
soađistit	saada (villieläin) nitistetyksi& saada vaivoin hankituksi& saada (villieläin) nitistetyksi& saada vaivoin hankituksi	V	+?
soaggi	karsta (lampunsydämessä)	N	+?
soahkkái	koivuinen (maastosta)	A	+?
soaikut	harsia	V	V
soairu	(luu)naskali	N	+?
soaitin	sattuma	N	N
soajálaš	siivellinen	A	A
soajeheapme	siivetön& (liian) pienisiipinen& hihaton& (liian) lyhythihainen& siivetön& (liian) pienisiipinen& hihaton& (liian) lyhythihainen& siivetön& (liian) pienisiipinen& hihaton& (liian) lyhythihainen& siivetön& (liian) pienisiipinen& hihaton& (liian) lyhythihainen	A	+?
soakŋut	kirkottaa (lapsivaimo)	V	+?
šoaláhat	rankkasade	N	+?
soalddát	sotilas	N	N
soallun	hammastikku	N	N
soalsái	kuolaava& kuolainen& kuolaava& kuolainen	+?	+?
soalsi	kuola	N	N
soalssas	kuolaava& kuolainen& kuolaava& kuolainen	A	+?
soalssistit	kuolata	V	V
soalvái	jolla on iso kita	+?	+?
šoaŋki	ruipelo	N	A& N
šoaŋkkuhit	lönkytellä (laihasta ihmisestä tai eläimestä)	V	+?
soaŋuhit	kirkottaa (vaimonsa)	V	+?
soappastit	työnnältää sauvalla (hiihtäessä)	V	+?
soarpa	vaahto	N	N
soarvi	kelohonka	N	N
soarvut	keloutua (hongasta)	V	+?
soarvveheapme	jossa on vähän tai ei ollenkaan kelohonkia	A	+?
soarvvuš	tervas (poltettavaksi)	N	+?
